,fips_code,state,name,poor_or_fair_health,monthly_poor_physical_health_days,monthly_poor_mental_health_days,adult_smoking,adult_obesity,physical_inactivity,access_to_exercise,excessive_drinking,alcohol_impaired_driving_deaths,uninsured_under_65,primary_care_physicians,dentists,mental_health_providers,flu_vaccinations,high_school_grad,some_college,unemployed,children_in_poverty,single_parent_households,social_associations,violent_crime,injury_deaths,severe_housing_problems,households_with_high_housing_costs,households_with_overcrowding,households_with_lack_of_kitchen_or_plumbing_facilities,life_expectancy,diabetes_prevalence,hiv_prevalence,limited_access_to_healthy_foods,drug_overdose_deaths,motor_vehicle_crash_deaths,uninsured_adults,uninsured_children,other_primary_care_providers,median_household_income,children_eligible_for_free_or_reduced_price_lunch,homicides,firearm_fatalities,homeownership,severe_housing_cost_burden,population,proficient_in_English
1457,28059,MS,Jackson County,0.1727247834,3.8087847770999996,3.8283591047,0.1873029169,0.33399999999999996,0.272,0.7734198242,0.1522681795,0.25,0.1344857332,0.0004885267,0.0004009792,0.0014210141,0.35,0.8742877493000001,0.6187015108,0.058371813700000004,0.21600000000000003,0.372472876,10.266140851,219.95632296,80.124008182,0.136544586,0.1191688735,0.0168192675,0.007563694300000001,76.31898041,0.142,207.4,0.10918585970000001,17.654619155,17.534897487000002,0.1702385531,0.0460950764,0.0007597500999999999,49699.0,0.7018505543000001,4.2,13.9,0.7021022081,0.12161494769999999,142152.0,0.0087098326
1458,28061,MS,Jasper County,0.2334845554,4.2724737451,4.127641832,0.1972502543,0.425,0.382,0.2988512484,0.1148037216,0.06896551719999999,0.1585670017,0.0001809627,0.0002412254,0.0001206127,0.39,0.8318527918999999,0.5672013274000001,0.0657377049,0.325,0.47991598840000005,12.667390518,0.0,86.956521739,0.15781818179999998,0.1355283308,0.0189090909,0.026909090899999998,75.18065566899999,0.174,268.1,0.061348046100000005,3.2121491315,38.759689922,0.20027305190000003,0.0539440204,0.0001809191,35916.0,0.8861087143999999,9.5,15.7,0.8414258470999999,0.1119758577,16582.0,0.0
1459,28063,MS,Jefferson County,0.3456521197,5.1249572649,4.7424423753,0.2636227694,0.495,0.331,0.610665286,0.0952641792,0.3,0.17090592329999998,0.0002740852,0.0004570692457528949,0.00013770309999999999,0.28,0.875,0.3877973113,0.14715719060000002,0.456,0.7049003770000001,2.7408524051,251.50905433,93.848876495,0.1355599214,0.0985263158,0.0373280943,0.0176817289,72.103394575,0.177,433.1,0.0636125997,3.2121491315,41.875249824,0.21948866379999998,0.047477744800000006,0.0009639217999999999,27925.0,0.9906396256000001,0.7,1.7,0.6526701998,0.08958130480000001,7262.0,0.0013422819
1460,28065,MS,Jefferson Davis County,0.2963841029,5.0520342518,4.6405634677,0.2274121334,0.425,0.365,0.2509810203,0.0958546741,0.25,0.1790081522,0.0001756697,0.0003535443,0.0008838607000000001,0.4,0.825,0.47843292439999996,0.0687692673,0.401,0.5491731941,14.053579270999998,0.0,161.6953934,0.2519920319,0.22419855219999998,0.0219123506,0.0249003984,72.911447482,0.17,222.8,0.09443810230000001,3.2121491315,55.903942443000005,0.221650265,0.0544912729,0.0005303164,28043.0,0.9957746479,21.9,44.7,0.7486452689,0.2207239177,11314.0,0.0
1461,28067,MS,Jones County,0.2256640515,4.2716644565,4.2973667323,0.1901947542,0.415,0.327,0.3968654536,0.1250307713,0.08,0.1587410195,0.0005150619,0.0005299573000000001,0.0008685411,0.46,0.8514054726000001,0.5495333812,0.0514601978,0.276,0.4264867047,15.746177505,224.09578136,87.88659114299999,0.141490228,0.1029045643,0.0325732899,0.0105863192,74.355640525,0.15,261.0,0.0541568313,10.779135513,28.448014390999997,0.2083128191,0.048263419,0.0011776828999999999,39459.0,0.7723481338,5.9,14.6,0.7259457487000001,0.09535166070000001,67930.0,0.0116929574
1462,28069,MS,Kemper County,0.2781964439,4.8133233455,4.3360412984,0.22999732190000002,0.381,0.332,0.0683817904,0.11034450550000001,0.48,0.1902748414,0.0001010509,0.0002023677,0.00151670365715743,0.25,0.925,0.4273034658,0.0791797209,0.406,0.60518591,11.115602264000001,98.543742472,71.706005378,0.1214188267,0.0930888575,0.0272851296,0.0163710778,76.021234651,0.18899999999999997,187.4,0.30377282850000004,3.2121491315,25.464731346999997,0.23998459170000003,0.0579420579,0.0003035516,32026.0,1.0,0.7,19.9,0.7642760487000001,0.11262077289999999,9883.0,0.001038206
1463,28071,MS,Lafayette County,0.1910616439,4.1267356725,4.2463810205,0.18481536280000002,0.324,0.26899999999999996,0.8037633840999999,0.1714688656,0.325,0.1378304774,0.0006691947,0.0004046051,0.0055173428,0.53,0.8699092742,0.7628200426,0.0424045431,0.184,0.38774865799999997,12.640345007,0.0,61.37695239,0.2356504182,0.22248381399999997,0.022786270600000002,0.0060571099,77.211155336,0.115,169.7,0.1616961167,3.2121491315,20.080376520999998,0.1648904398,0.0525744723,0.000901166,47899.0,0.476550469,4.1,12.0,0.5843577679999999,0.22035520579999998,54374.0,0.0045594529
1464,28073,MS,Lamar County,0.180088357,3.5061213094,3.9065260342,0.18686904070000002,0.34600000000000003,0.26,0.5439110281,0.16783750170000003,0.1904761905,0.1253887952,0.0014118264999999999,0.0010264933,0.0003747515,0.45,0.9161165049,0.7179661786,0.0382718093,0.18600000000000003,0.3238088997,9.8499523919,57.750866263,64.61104153,0.1534415733,0.1312196251,0.0265264121,0.0038417562,77.941105838,0.124,82.8,0.046851730999999994,13.121494101,16.546207082000002,0.1582085632,0.04695857690000001,0.0001955225,57125.0,0.5483285578,6.5,14.9,0.6814549087,0.1192413206,61374.0,0.0030692703000000003
1465,28075,MS,Lauderdale County,0.2291698843,4.1876333396,3.973474598,0.2076838768,0.358,0.326,0.5994692316,0.11838070490000001,0.11538461539999999,0.1283132726,0.0009131246000000001,0.0006434246,0.0029019761999999998,0.35,0.8173870574,0.6370548014999999,0.0544310203,0.3,0.456579881,15.94752749,358.66326769,83.58242424699999,0.1580808081,0.1256410256,0.029461279500000003,0.0085858586,75.176076845,0.13699999999999998,387.8,0.1109436794,6.4534448489,20.248697394,0.1633448774,0.0460766182,0.0013787670000000001,43538.0,0.7577238465999999,15.0,24.5,0.6560618226,0.1286913164,76155.0,0.004404085
1466,28077,MS,Lawrence County,0.21441836420000002,4.1096312496,4.107334409,0.20219288670000002,0.344,0.381,0.0474127929,0.12797175130000002,0.36842105259999997,0.15358458490000002,0.0002353126,0.0001581903,0.00151670365715743,0.43,0.825,0.5632306057,0.0654749085,0.289,0.33840673579999997,17.256255393,0.0,104.71204188,0.14958159,0.1363934426,0.0188284519,0.0052301255,72.49435236,0.158,423.6,0.070593752,3.2121491315,37.386142203,0.1931181648,0.0596415328,0.0008700467,38446.0,0.7833559475,0.7,20.6,0.7915802572,0.1312874942,12643.0,8.42531e-05
1467,28079,MS,Leake County,0.2511483308,4.5259539378,4.4838182219,0.2223347913,0.42100000000000004,0.354,0.22814534760000002,0.1222256018,0.24324324320000001,0.1934026984,0.000132626,0.00026414259999999997,0.00151670365715743,0.37,0.775,0.4693989071,0.0562280359,0.335,0.505940912,14.146772767,0.0,89.815137775,0.1828021648,0.12469586369999999,0.0595309681,0.0090198437,75.625909908,0.157,204.6,0.09670892710000001,3.2121491315,31.569369046,0.24566866269999998,0.0644171779,0.0006603566000000001,36031.0,0.8976648352,9.3,20.9,0.7197374818000001,0.1364721485,22715.0,0.0155818633
